Month,Open Price,High Price,Low Price,Close Price
Jul-04,312.6,323.75,295.1,319.3
Aug-04,320,326.6,307.55,315.65
Sep-04,316,338,304,323.95
Oct-04,325,325,293,295.4
Nov-04,295,306,289,300
Dec-04,300.05,330,295.6,320.15
Jan-05,323,360,302.6,359.55
Feb-05,359,363,341.3,356.3
Mar-05,356,395,350.05,391.1
Apr-05,395,401,362.2,371.6
May-05,371,405,368.1,384.85
Jun-05,387.85,418,384.25,411
Jul-05,419,463.9,410,458.6
Aug-05,458.5,489.75,455,480.9
Sep-05,481,520,467,500.45
Oct-05,500.15,532.8,465,482.65
Nov-05,496,546.45,492.05,525.1
Dec-05,527,583.9,526,577.4
Jan-06,577.45,650,571.25,614.9
Feb-06,615,790,612,668
Mar-06,670,696,630.1,644.05
Apr-06,635,662,590,642.3
May-06,649.95,707,525,570
Jun-06,581.6,605,501.1,597.05
Jul-06,581,610,551,607.6
Aug-06,610,655,599.5,633.3
Sep-06,631.5,685,629.5,675.5
Oct-06,682,712,530,670.1
Nov-06,679.5,725,668.15,713.85
Dec-06,719,742,692.1,733.55
Jan-07,739,835,684.95,800.7
Feb-07,799.7,810.15,708.3,739
Mar-07,748,777.9,642,764.8
Apr-07,759.2,819.9,731.1,793.2
May-07,796,869.2,751,830.3
Jun-07,839,900,800,810.95
Jul-07,818.25,899.25,803.1,884.95
Aug-07,860,995,860,943.75
Sep-07,965,1000.05,921.65,982.95
Oct-07,985,1120,900,1032
Nov-07,1074,1095,953,990.35
Dec-07,999.55,1125,981,1102.55
Jan-08,1101,1319.95,875,1245.7
Feb-08,1250,1255,1047.1,1111.9
Mar-08,1072.65,1205,1072,1199.95
Apr-08,1250,1283,1145,1276.45
May-08,1295,1314,1200,1278.75
Jun-08,1287,1300,1130,1148.5
Jul-08,1165,1222,1000,1203
Aug-08,1200,1298,1180.1,1223.35
Sep-08,1224,1236,1136,1182.5
Oct-08,1162,1185,830,956.75
Nov-08,990,999,875,888.35
Dec-08,886.1,913.3,845,895.1
Jan-09,897,945,700,785.05
Feb-09,789.85,844.9,757,786.25
Mar-09,781,807,680.9,786
Apr-09,809,950,770,887.05
May-09,887,1190,863,1081.05
Jun-09,1068.6,1199.95,1050.6,1177.45
Jul-09,1195,1420,1110,1408.55
Aug-09,1405,1448,1296.25,1391.4
Sep-09,1399.8,1440,1335.1,1405.6
Oct-09,1410,1715,1375,1644.8
Nov-09,1644,1733.8,1615,1675.1
Dec-09,1677,1811,1660.55,1796.25
Jan-10,1738,1926,1730,1853.15
Feb-10,1835,2024,1715.2,1809.55
Mar-10,1822,2090,1818.5,2042.6
Apr-10,2047,2117,2005,2074.95
May-10,2075.8,2180,2009.9,2086.65
Jun-10,2112.85,2465,2038,2306.25
Jul-10,2315,2705.9,2283.5,2605.35
Aug-10,2605,2826,2582.15,2762.45
Sep-10,2821,2920,2366,2671.6
Oct-10,2700,2744,2494.1,2678.25
Nov-10,2681,2823.5,2450,2642.5
Dec-10,2640.2,3027,2614,2874.85
Jan-11,2898,2948.8,2485,2569.25
Feb-11,2570,2625,2395.05,2405.5
Mar-11,2418,2646.95,2400.4,2526.95
Apr-11,2530.05,2780,2462.05,2773.75
May-11,2784.45,3203,2643,3139.2
Jun-11,3130,3230,2908.05,3180.55
Jul-11,3180,3365.95,3067.05,3125.8
Aug-11,3150,3338.15,3000.65,3287.15
Sep-11,3325,3329.95,3001.4,3149.4
Oct-11,3150,3204,2998,3151.15
Nov-11,3149.9,3260,2825,2881
Dec-11,2890.05,2965,2551.05,2594.95
Jan-12,2580,3038,2555.9,2987.25
Feb-12,2990,3195,2898,3169.9
Mar-12,3165.1,3332.5,3004,3237.75
Apr-12,3239,3550,3225,3523.05
May-12,3506.45,4170,3479.7,4034.65
Jun-12,4020,4020,3661.1,3881.85
Jul-12,3883.5,3965,3447.9,3637.05
Aug-12,3622.4,3815,3591.05,3653.35
Sep-12,3654,4015,3616.1,3936.5
Oct-12,3955,3959.9,3775.1,3868.9
Nov-12,3869.25,4375,3835.05,4327.55
Dec-12,4338.9,4494,4225,4420.25
Jan-13,4420,4565.55,4263,4502.05
Feb-13,4510,4670,4252.1,4290.45
Mar-13,4300,5047,4278.1,4914.4
Apr-13,4906.95,4974.5,4460,4681.75
May-13,4717.9,4952,4590.5,4864.2
Jun-13,4864.2,4864.2,4302,4630
Jul-13,4634.9,5246.6,496,507.1
Aug-13,516,516,376.35,418.75
Sep-13,421,504,395.75,459.35
Oct-13,461,540,452,538.4
Nov-13,535,560,499.75,503.35
Dec-13,509,514.7,482.9,490.75
Jan-14,493.75,505.75,464.75,472.25
Feb-14,476.9,495,461,472.95
Mar-14,472.1,548,469.1,546.5
Apr-14,548,549.65,495.15,505.15
May-14,509,565,501.3,509.45
Jun-14,507,596.75,503.2,592.7
Jul-14,592,647.2,565.5,629.15
Aug-14,617,650.1,603,624.15
Sep-14,628.9,680,612.6,629.4
Oct-14,631.1,672.9,623.1,656.15
Nov-14,660,748.25,637.2,743.7
Dec-14,754,809.25,719.5,751.75
Jan-15,750,922.8,747.25,857.45
Feb-15,856,856,784.65,818.35
Mar-15,824,848.75,769.2,808.75
Apr-15,808,864.25,731,762.9
May-15,779,818,735.4,787
Jun-15,787,794.55,693,754.45
Jul-15,756.35,884.8,755.2,881.45
Aug-15,884,924.65,812.75,848.6
Sep-15,847,848.25,778.75,841.1
Oct-15,846,892,812.5,828.7
Nov-15,828,865,785,840.45
Dec-15,840,888,830,883.85
Jan-16,882.95,912,825,868.85
Feb-16,873.55,907.85,827.2,848.55
Mar-16,856,906.75,837,868.7
Apr-16,860,894.6,843.05,868.1
May-16,866,1003.85,861,984.1
Jun-16,990,1037.3,964,1003.65
Jul-16,1003.55,1080,983.55,1060.65
